Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Pastry Chef Commi II,Esbe restaurants llc,Dubai,https://ae.indeed.com/rc/clk?jk=50d461b20b76173d&bb=kSrMiOeR2fbyp-EEhd8PNwOCSSvcsSd73EJ17i12SaVNo-NZQHT-BYC2Vox-oufMwOm6evY_kJayJ0EGCEIRGwmOcJYBD3xFC83CLfm0w2tMLWLNtFL76V38QPSwhi98P83_Z-wS6zo5J84Jvb83bw%3D%3D&xkcb=SoC567M3iLOLN-T42x0MbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,"Shop # 02, Ground Floor, AI Raffa Building C, Kuwait St. Mankhool, Dubai, U.A.E.*. As a Pastry Commis II you are responsible for preparing a wide variety of delicious desserts, pastries, and sweet…",,,indeed_ae,2026-06-05 05:10:29.672736+00:00
Pastry Sous Chef,Esbe restaurants llc,Dubai,https://ae.indeed.com/rc/clk?jk=eeafbd46db6cae1d&bb=kSrMiOeR2fbyp-EEhd8PN_ruokImbhbqd74JXo6mxxAicAu80eEdMYm20SQOW0RDyCW5ecxyaulM_uNSKDMcjdemtTjD5sTECgQxYX-NQCJ90kG3fVHnQ2-Y-3R3peL35GPkXV9HoizWJZIYLCLSCA%3D%3D&xkcb=SoAN67M3iLOLN-T42x0NbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,"Shop # 02, Ground Floor, AI Raffa Building C, Kuwait St. Mankhool, Dubai, U.A.E.*. The Pastry & Cake Sous Chef is responsible for assisting in managing the pastry section of the kitchen, specializing…",,,indeed_ae,2026-06-05 05:10:29.626962+00:00
Continental Chef Commi I,Esbe restaurants llc,Dubai,https://ae.indeed.com/rc/clk?jk=7cccd5b4150e9935&bb=kSrMiOeR2fbyp-EEhd8PN8bCd6gtdLWVhkPFbAnvRhMkWtA_vr6NcKaIMhy5Ay7qdf1C8AW-poaEXsJtY_4p6c4BxW0FruKoKKnbB1zqC3H8rDYbZu9QAjH48PYhBtnaexc5ZBL_-G8FFRhM9hmyOg%3D%3D&xkcb=SoCQ67M3iLOLN-T42x0ObzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,"Shop # 02, Ground Floor, AI Raffa Building C, Kuwait St. Mankhool, Dubai, U.A.E.*. Assist DCDP/CDP with basic prep and cooking tasks. Learn and perform simple cooking techniques under supervision (…",,,indeed_ae,2026-06-05 05:10:29.579610+00:00
Real Estate Sales Agent – Spanish Speaker,Metropolitan Capital Real Estate,Abu Dhabi,https://ae.indeed.com/rc/clk?jk=9b9c3a2f463d9daf&bb=kSrMiOeR2fbyp-EEhd8PNy2H39--Uid6YGnNfU3MF98lkMFlG9TWK3Lr4gY0-57tCi7RATqIoYX-OF5APjhx0CPGQ1EZT_wFFkZYWegXu9KbMVKn6CkrwB6zlKy-EnvqDoxyuflYOkywhbv_LxrTkQ%3D%3D&xkcb=SoAk67M3iLOLN-T42x0PbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,Experience in real estate sales or client‑facing roles is preferred. Ability to build trust with international clients and high‑net‑worth individuals. Valid UAE driving license and access to a car.,,,indeed_ae,2026-06-05 05:10:29.537189+00:00
Massage Therapist (Female),Blaura Wellness and Fitness Center LLC,Dubai,https://ae.indeed.com/rc/clk?jk=598c90c31804e11f&bb=kSrMiOeR2fbyp-EEhd8PNyTOyLiof3ddf_BMs5NHLlkT_ldF9HnZ6dH94Xrjp6792upaA2XHeHYUsSMwtqm7qLLF1EEeanFDnTUFB7FUMU56YHiPqy7FLzHYEKDC-enG5ZaO3-cvygiF9IL0Rm1IMg%3D%3D&xkcb=SoCq67M3iLOLN-T42x0IbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,"Experience in fitness recovery or sports therapy environments. Multilingual skills (Arabic or other languages a plus). Exposure to VIP clients, celebrities, or elite memberships.",,,indeed_ae,2026-06-05 05:10:29.490400+00:00
German-Speaking Property Specialist,Metropolitan Capital Real Estate,Abu Dhabi,https://ae.indeed.com/rc/clk?jk=bc302f9d11d899d2&bb=kSrMiOeR2fbyp-EEhd8PN4M0H1W7Qn-EHiFkXc89n8EXDDodhGfzX8D2yZI3sPTR6RTmnBRJ7nf1ScYn_OzxMIwcp46m9kCpFGbVFtdfIDhAyBYNgENdq03eoeNintNLl_m-Lbc_71n9pU6tw-akKQ%3D%3D&xkcb=SoAe67M3iLOLN-T42x0JbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,Experience in real estate sales or client‑facing roles is preferred. Ability to build trust with international clients and high‑net‑worth individuals. Valid UAE driving license and access to a car.,,,indeed_ae,2026-06-05 05:10:29.411103+00:00
Real Estate Sales Agent – Mandarin & English,Metropolitan Capital Real Estate,Abu Dhabi,https://ae.indeed.com/rc/clk?jk=cd3de83f670f8d0a&bb=kSrMiOeR2fbyp-EEhd8PN0NLLeVFv9ZpRIvPaOPMtsUOLdjR2qml6mkDEQzZLonfGFfPbWmTiP3Mx8HJHFwDtKsnWnqBeS-xlX8Ie3YllLnxkZ49xzml0HMLMbAm-dQkAinECgTCleS_ML5VjuZEyg%3D%3D&xkcb=SoCD67M3iLOLN-T42x0KbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,Experience in real estate sales or client‑facing roles is preferred. Ability to build trust with international clients and high‑net‑worth individuals. Valid UAE driving license and access to a car.,,,indeed_ae,2026-06-05 05:10:29.345939+00:00
Sales and Branch In charge - Retail Flower Shop,Black Tulip Flowers,Dubai,https://ae.indeed.com/rc/clk?jk=1df8e32414fdfa41&bb=kSrMiOeR2fbyp-EEhd8PN9iFPPmPyDbFDH6dhffmzBCA1iaplLBNVWLYelxv8LLCqJwV8c_R9_R4LJkS6t_OYyzBxGNRYcX_AGVy-5sAGjt1QbVOJUYV-BFtTfzW6CVwDzcaWrbrfNVilh4gwz30WA%3D%3D&xkcb=SoA367M3iLOLN-T42x0LbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUME3myYFpBsHQ4QBab9PatwWOxvghNOg8rM6Po_qXQU-g&atk=1jqb3179ghmvo801,Procurement - Coordinate with the respective personnel to ensure customer requested products are imported on time or purchased locally for delivery. Must have UAE driving license*.,,,indeed_ae,2026-06-05 05:10:29.286908+00:00
Real Estate Agent - Abu Dhabi,Top of the Top Properties,Abu Dhabi,https://ae.indeed.com/rc/clk?jk=7f97135122ce3b2a&bb=74dC8xJgBj5688lmFGbbsKcOzDMYlyuZbKleISS_IVzEYwuYCCqHyV-cPxQCc19m1twLgJpS6S9FGCPUNQmNXFO_pqGRyYqE85YnAGGiST5bBcybnc0viI-uHG__ApVvwNMiYdS4ShdyNHjcTpKS1A%3D%3D&xkcb=SoAE67M3iLOLiNT43J0TbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUO1yh5oo3Lv2qPCnIfwhIiZWOxvghNOg8rM6Po_qXQU-g&atk=1jqb312fhhmvh801,Bachelor’s degree or equivalent experience. Real estate license (or willingness to obtain one). Abu Dhabi: Reliably commute or planning to relocate before starting work (Preferred).,,,indeed_ae,2026-06-05 05:10:25.817534+00:00
Off Plan Tele sales Executive (Female),Realtree Properties,Dubai,https://ae.indeed.com/rc/clk?jk=4755ca8d32f08704&bb=74dC8xJgBj5688lmFGbbsJmJYX2M8_NQqLrWQYk9YRHZQnYw9YA6d4cC6lOlLRO4HIu-XEoNHjP5osh2jirii2Rqw4-eJ0AOlaqOsW0Q8kfn1M1jO5RG8regOQ1ErRFSr-6g_1qOGuqtAmko8FcbDQ%3D%3D&xkcb=SoDt67M3iLOLiNT43J0cbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyzz3Y1gCYqZnOBVg83E4dTUO1yh5oo3Lv2qPCnIfwhIiZWOxvghNOg8rM6Po_qXQU-g&atk=1jqb312fhhmvh801,Experience in Tele sales or Telemarketing. Telesales or Sales: 2 years (Required). Proven track record in Tele sales or sales. Minimum experience of one year in the Dubai Real Estate market Offplan.,,,indeed_ae,2026-06-05 05:10:25.770690+00:00
