Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Senior Technical Program Manager,BlackStone eIT,Cairo,https://eg.indeed.com/rc/clk?jk=b78681fa4c6e09b5&bb=0y9XsCEO_AdosZVUc07Mwy-syu1QIFFjY4G_50AdD4tSUzhFI4Lq9APGBH65khOUrrF3UwrAFt1tbvVcDXj2bYO8xFsxH_YixNF-89w3XW17AcX4b0Fz0QZlxcWESP4L7rFYuGDJ7X-KOJlIDrBf35ed46ULXcufpVFoczDgBxfFxm6jcldm32NX_yMb7uqxtM7N1dbYUvUanx-P11Q3MlSVN_OEa1DUnFmKiVtMK80%3D&xkcb=SoCE67M3iCC1UZTBEx0GbzkdCdPP&fccid=4f9dd5372a5d8bb3&vjs=3,"Experience operating in regulated, compliance-sensitive, or enterprise environments. Hands-on experience with Azure DevOps and/or Jira at a program level, not…",Full-time,,indeed_eg,2026-06-01T18:00:08.619400+00:00
Head of Enterprise Architecture,Ethics HR,Cairo,https://eg.indeed.com/viewjob?jk=f1e2d3c4b5a67890,"Minimum of 10 years of experience in enterprise architecture, IT strategy, or technology leadership within banking or financial services with 3 years in a…",Full-time,,indeed_eg,2026-06-01T18:00:08.560227+00:00
Head of Enterprise Architecture,Ethics HR,Cairo,https://eg.indeed.com/rc/clk?jk=973b9b8f6aa5f017&bb=0y9XsCEO_AdosZVUc07Mw_FgqKL95O-Q3aIW956sftAI-3mnzs4KXsNKIKYbqd5Ij3t7DwTFTFoTxDsdlqEl1sjwF2movv-T5fm0qE_IROhhIIXclGYaAs4-bPE_57X0GJzt_I3lsbFnhTXRZSqbRREttpvgnYCJI8QCXlyGfDd10ePQUr_lIipZy0SQug94x1eb_-zrvqz-5kib17LjedTNTQaNSEWYF9-_rvV_OLU%3D&xkcb=SoAw67M3iCC1UZTBEx0HbzkdCdPP&fccid=6244de344201043d&cmp=Ethics-HR&ti=Enterprise+Architecture+Consultant&vjs=3,"Minimum of 10 years of experience in enterprise architecture, IT strategy, or technology leadership within banking or financial services with 3 years in a…",Full-time,,indeed_eg,2026-06-01T18:00:08.496524+00:00
Project Manager - French Speaker (Americas Time zone),Commvault,Cairo,https://eg.indeed.com/rc/clk?jk=b7cad505a85f356b&bb=0y9XsCEO_AdosZVUc07Mw8EnCeUeLYgN_2PRXw9EfbhSEKZux_KnMsBG-WO_dlPrRPsvtgTFnu46VJmJFFlFEZ286rH1jxOoLxWy9TlAmmrtnzebeMM-FNxUNpKpeYQ5sOJ15dUGYLW5_c4pkuniQypXpUcnqii1nBtOkh3d1xOvUO5TsDYaZa9pkT7S_-_cVNKvHbaCxaTgT2rBJ4Ovzg75HZWBQ1BZkpULN0B1E3s%3D&xkcb=SoC-67M3iCC1UZTBEx0AbzkdCdPP&fccid=e41a4055a18ec362&vjs=3,"Ideal candidates will be familiar managing software initiatives that span proprietary product hardware, across multiple product lines, and Enterprise software…",Full-time,,indeed_eg,2026-06-01T18:00:08.438793+00:00
Infrastructure Engineer Manager,Ethics HR,Cairo,https://eg.indeed.com/rc/clk?jk=4686bf6e5002a6f4&bb=0y9XsCEO_AdosZVUc07Mw_s0zO_iopKEFyD17MSMXPwo9rc7x1s-jddzQgzCL9xDNlnMxu1jCEmp9RitFfU60-kR2Oc8pwJCv-AobbPTcpGa3YIh9C9gWzJ0SyvguSUGAklcWzbN2dxNZoXrEPJti06GHwEnLk4aUJGvlyI4H-qzhaH-PLuhCvP73Fk0ADMh9KQFNpbiHobFawhnSXfeVPy_LaiiKJBylTUVqbXFA5g%3D&xkcb=SoAK67M3iCC1UZTBEx0BbzkdCdPP&fccid=6244de344201043d&cmp=Ethics-HR&ti=Infrastructure+Engineer&vjs=3,"Strong knowledge of server, network, storage, and cloud technologies (AWS, Azure, or equivalent). Bachelor’s degree in Computer Science, Information Technology,…",Full-time,,indeed_eg,2026-06-01T18:00:08.374688+00:00
Senior API Integration Specialist,TAWANTECH,Cairo,https://eg.indeed.com/rc/clk?jk=9ba1bc04d5dc92af&bb=0y9XsCEO_AdosZVUc07Mw0S_kicumbeszBP0n6Sf5-JYVebAlXpTbkti8oDYdoD-bk6jDOPqZo8ODTL4SgX8QXJi6XWTWBPuJtzmGqiqVaRbaYxGU158t3XZqkKxWfLr0fvUDqNMq5bUrG6Ux9IABzuYUanaSYwBOYtkc0nA6Q8rvyPCV-QwNb-rtynoiY9jdOfAFQGMVkvNvzBhwR227_E7_K2Uru3ph-EgPG3xCcM%3D&xkcb=SoCX67M3iCC1UZTBEx0CbzkdCdPP&fccid=745b6188c3f2f2b9&vjs=3,IBM API Connect and/or IBM DataPower certifications are highly preferred. IBM Professional Certifications in IBM API Connect or IBM DataPower are a plus.,Full-time,,indeed_eg,2026-06-01T18:00:08.312826+00:00
"Re-advertised: Programme Specialist, Women, Peace, Security, and Humanitarian Action - International - PSA10",United Nations Development Programme (UNDP),Cairo,https://eg.indeed.com/rc/clk?jk=d2cc9e888ade9796&bb=0y9XsCEO_AdosZVUc07Mw1lUiTwaMX6H3IidvnRr0-9BkgXYsZnaQtXjt8LVWGady887w0Kgpo4dHSwgLs4McpfsbLLCYhQgkDm4vyFb-Bfy6H5s_-cTu7auUsInY5CDFDzs6JK7Nnlxj_U6aJJjXfkfZ9JKXud3XZIjJIhTGZ2E9cxV4HHzc9Kj5SqicdMcMfZwImUwBkpEc9ThjPLLyeE8qNkjMLq3GX_XtnQUfPA%3D&xkcb=SoAj67M3iCC1UZTBEx0DbzkdCdPP&fccid=a9a8bf2e786e3726&vjs=3,"Master’s degree or equivalent in social sciences, human rights, gender/women's studies, international development, or a related field is required;",Full-time,,indeed_eg,2026-06-01T18:00:08.239659+00:00
"Software Engineer, Platform - Cairo, Egypt",Speechify,Cairo,https://eg.indeed.com/rc/clk?jk=d90fb624ec5990ae&bb=0y9XsCEO_AdosZVUc07Mw33493h1_wsigcVkiQg8nVEs3sRx96KzBi9iLIOrJbepky5D1em_rwe6AtGxwKkltWs2v1PxAqtkILUjSmzJ9LENYlkaWoflPtx0mz9go43104Zw3oURcK9MJSl1BpNXW9Eo0Z-RnlPSvDEhxgeG_-Cy68ZnYhLcgdyWLESXMSgNXZwdlxzEBZR1eHOZG_i5ELnXdJE5nDZid0rg2LOZ_Xw%3D&xkcb=SoDK67M3iCC1UZTBEx0MbzkdCdPP&fccid=ce1ba0373c780aad&vjs=3,"Direct experience with GCP and knowledge of AWS , Azure, or other cloud providers. Proven experience in backend development: TS/Node (required).",,,indeed_eg,2026-06-01T18:00:08.180100+00:00
Senior AI Engineer,Coca-Cola HBC,Cairo,https://eg.indeed.com/rc/clk?jk=cd9a20632c23af32&bb=0y9XsCEO_AdosZVUc07Mw_upQLcKB7FTiCOg9zavuiA6lbBH-IMn1cReMjh2uchqv_nwPIdqL4f_TA_nQoWbNkNSSBNh8IhglaRpFRZu-H-D97HKPQaIO9q3gTuR8uUASGarqGB12QgmTIEjB83Yl-MxbiF6TYuOHXpiJSJ6AvYpvLiTmfXy98K8rC5FwuS8QgsXBZw9ftUgbZUtl2-oC77dZ58CULs7mmS--dCzhpg%3D&xkcb=SoB-67M3iCC1UZTBEx0NbzkdCdPP&fccid=664ac57f6fd3d678&vjs=3,"5+ years of hands-on experience in software engineering, AI engineering, or applied machine learning roles. Solid hands-on experience with the Microsoft Azure…",,,indeed_eg,2026-06-01T18:00:08.122810+00:00
Senior Cloud Consultant,"Red Hat, Inc.",Cairo,https://eg.indeed.com/rc/clk?jk=5f25301528f408d5&bb=0y9XsCEO_AdosZVUc07Mw0tK6Pak1gXlkrkBYrjhu8p3Az9c5Q_z_MZJL7YWyluPnVYQ0UtqfRfQe6TalOK2kpdZfYe9SmiGYjnzwgqz2CW_3f0bXDREbW2dCsiIREHkqfOXkNYwnJJ8kmqxtE_QcrJZPZROb4OCWnGVvFACovtgWXV5AOwP2ctHfNCSsmWE2d2eJtl93azXBTlSXYSCFXoPZhqjvG2a4sVVdQPm_SU%3D&xkcb=SoDj67M3iCC1UZTBEx0ObzkdCdPP&fccid=e24a60f01d1882d1&vjs=3,Advanced hands on experience and knowledge of Red Hat OpenShift Platform or underlying components like Kubernetes and Docker.,Full-time,,indeed_eg,2026-06-01T18:00:08.063724+00:00
