Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Technische:r Projektmanager:in (m/w/d) für New Energy Großprojekte - Remote - 1KOMMA5° Commercial Solutions GmbH,1Komma5° GmbH,Homeoffice,https://de.indeed.com/rc/clk?jk=5b8a2d73aa0a5db5&bb=V98Trb-dhZWg0TB346wFTZmhgrhLZOL4m39OQec3xvv27bq-7WtyDTep5d81YihwfMOieAWMqc8s53yVFwGdf0WBr3UEjnvKLVx3EcWEU9v6tXOSZrItA1n8350diLxm&xkcb=SoAB67M3iNNgM_zNh50GbzkdCdPP&fccid=e4dd3a5f79b12d62&vjs=3,"Entwicklung technischer Konzepte gemeinsam mit unseren Planungs- und Engineering-Teams sowie Begleitung der Umsetzung (z. B. Dachbelegung, Stringplanung, NSHV,…",Weiterbildungsprogramme,,indeed_germany,2026-06-05 23:46:18.998268+00:00
Head of Commercial & Industrial Growth(m/w/d) - 1KOMMA5° Commercial Solutions GmbH,1Komma5° GmbH,Homeoffice,https://de.indeed.com/rc/clk?jk=f6a741b3797526a4&bb=V98Trb-dhZWg0TB346wFTS16s7dD1jEmqfX4GVrBpYtWMlhSmsNXjhSeE8r7o0cT5BHVUUPfk0d6GSC6NqyiRQtOI3urDJy9H2nOdzzFoD6B2h7fyk6mY2ttsOEuOxat&xkcb=SoC167M3iNNgM_zNh50HbzkdCdPP&fccid=e4dd3a5f79b12d62&vjs=3,"Bei 1KOMMA5° bauen wir Europas führende Energie-Software-Plattform Heartbeat und schaffen so ein virtuelles Kraftwerk, das Photovoltaik, Stromspeicher,…","Weiterbildungsprogramme,Firmenhandy,Flexible Arbeitszeiten",,indeed_germany,2026-06-05 23:46:18.868082+00:00
Associate SAP Software Engineer (m/f/x),FINN,Homeoffice,https://de.indeed.com/rc/clk?jk=999c2a4bb5db8163&bb=V98Trb-dhZWg0TB346wFTagrTFtYpzD7g3Ymy4l1nnWvS3r353qTHQW2yKUAoX5xxSnY1bKyJ4cdfD_eRztTAMOrO4MGyMKWOn35TN-0ZPGWfbZghLcl4XgqtCMkJpWC&xkcb=SoA767M3iNNgM_zNh50AbzkdCdPP&fccid=e64a8fa744dda2e5&vjs=3,"1+ years of software engineering experience. Basic SAP/ABAP skills required — internship, working student role, certification, bootcamp or first job all count.",,,indeed_germany,2026-06-05 23:46:18.771897+00:00
SAP SD Analyst (m/f/x),FINN,Homeoffice,https://de.indeed.com/rc/clk?jk=5f38bfde0342b124&bb=V98Trb-dhZWg0TB346wFTYD-AP7ZBDcrfDgQyaVxIo7HqjUL1SAzfPnyesKfT7UfxwRQCW2-5Aajf01PnWV0yDX0e9rtftaru8EYmrikhCsAGJBtPx7bpfu24qoonfm_&xkcb=SoCP67M3iNNgM_zNh50BbzkdCdPP&fccid=e64a8fa744dda2e5&vjs=3,You have experience in full-cycle implementations or major roll-outs (ideally including an O2C or sales rollout) and feel comfortable moving between deep…,,,indeed_germany,2026-06-05 23:46:18.699094+00:00
Ruby on Rails Developer (m/w/d) - Fully remote within Germany,foodforecast,Homeoffice,https://de.indeed.com/rc/clk?jk=f62d46b42b6c4d42&bb=V98Trb-dhZWg0TB346wFTYUmK70zZajMUMUmpangEneoHFkLaVowdMBosLaITHkbfC-9QeIkhn3ucRzR0y8Y_N4By9XV5wGoPfe63vcs7rc5H3TQxbhZLNJEQl8c3CFh&xkcb=SoAS67M3iNNgM_zNh50CbzkdCdPP&fccid=ae9e089b06076c8f&vjs=3,"Management und Optimierung der Postgres-Datenbank, einschließlich Datenmodellierung, Leistungsüberwachung und –tuning sowie Datenmigrationen.",Flexible Arbeitszeiten,,indeed_germany,2026-06-05 23:46:18.634544+00:00
Forward Deployed Engineer (m/w/d) – SaaS & AI,foodforecast,Homeoffice,https://de.indeed.com/rc/clk?jk=b1ed7f873093f2e2&bb=V98Trb-dhZWg0TB346wFTRgtk0TyZhhgy3JHnteFyRJPygqUP2A5aYwsgFneVUqj7OkN0Ia-9hEv39tbcmaswZLLlaJ8vki6aGH5ZgLcw7k0c3AFhN7cxf7tE6bcqWwO&xkcb=SoCm67M3iNNgM_zNh50DbzkdCdPP&fccid=ae9e089b06076c8f&vjs=3,"Du entwickelst kundenspezifische Lösungen, Integrationen und Workflows in Ruby on Rails – von der Anforderungsaufnahme über den Prototyp bis zur produktiven…","Betriebliche Altersvorsorge,Flexible Arbeitszeiten,Firmenfahrrad-Leasing",,indeed_germany,2026-06-05 23:46:18.520591+00:00
Frontend Engineer (100% Remote),Giant Swarm,Homeoffice,https://de.indeed.com/rc/clk?jk=85fa8a9f8792628c&bb=V98Trb-dhZWg0TB346wFTQ-3gsg818HqMop9gwldwgzMOmIoJm7-afTcQnEkrI41CfKjnTGycLRWf15x8nWLc56XnYEA2fh-5TyBInyfhx5n3ZINZ621e-SvCLC8PozZ&xkcb=SoBP67M3iNNgM_zNh50MbzkdCdPP&fccid=089b28b7139b1114&vjs=3,"You have experience with agentic software engineering, and are willing to make agentic software engineering (using tools like Claude Code) your default way of…",,,indeed_germany,2026-06-05 23:46:18.435782+00:00
Customer Success Engineer,Adobe,Homeoffice,https://de.indeed.com/rc/clk?jk=bf45623e603ff83a&bb=V98Trb-dhZWg0TB346wFTeRO2hioAb6rEpUv5eViG_LRRrGtbbx12DfiYEtqBxAfzGF7YLX724HOU_31SJQkFOkSL6jwiL1MB_LbhCjT_I6O--1kaLTuCgPpYP_tKFh3&xkcb=SoD767M3iNNgM_zNh50NbzkdCdPP&fccid=f89deb5a97c7738a&vjs=3,"Experience with long-term operation, monitoring, and upgrading of Enterprise software. Work with Adobe’s AEM, Connect, LiveCycle, and other teams to assist in…",,,indeed_germany,2026-06-05 23:46:18.353874+00:00
Automatisungsexperten,jovoco GmbH,Homeoffice,https://de.indeed.com/rc/clk?jk=898e1562dfcd2351&bb=V98Trb-dhZWg0TB346wFTbK6XBEZV1G6fyPlAw4dcv7LaPHd88cABes-lzJdmZP1aVw5TngDJrzsnIV2fyCFXIUhEKp92YMT3F1rg-wDQxq2VxfAxAoqs5Zh868L7R5BW_TgTYE36yo%3D&xkcb=SoBm67M3iNNgM_zNh50ObzkdCdPP&fccid=c476f79d2af343a7&cmp=jovoco-GmbH&ti=Automatisungsexperten&vjs=3,"Entwicklung und Betrieb von No-Code/Low-Code-Automatisierungen (Make.com, n8n, Zapier oder vergleichbar). Integration von SaaS-Tools wie Close CRM, Monday.com,…","Kostenloser Parkplatz,Betriebliche Altersvorsorge,Flexible Arbeitszeiten",,indeed_germany,2026-06-05 23:46:18.253688+00:00
Growth Manager,Airship,Homeoffice,https://de.indeed.com/rc/clk?jk=35e5ebe4fbc86e41&bb=V98Trb-dhZWg0TB346wFTfQ1dXGTxoCVNWf9P2FkN2YxX4IyqdvsQbROz8orO8nZoDTNSdQng8C67YUI7HvmXlmLO2BEZv4jlORxkfSe1AjeOPVzLLdJqLjhoD92wNi_&xkcb=SoBc67M3iNNgM_zNh50IbzkdCdPP&fccid=4e579278e59b0b54&vjs=3,Experience experimenting with AI tools in your personal or professional life - or an eagerness to learn! Some roles may require that employees perform their…,,,indeed_germany,2026-06-05 23:46:18.130391+00:00
