Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Senior School Science Teacher - DQ Campus - Required August 2026,British International School Riyadh (BISR),Riyadh,https://sa.indeed.com/rc/clk?jk=3bcb446aa7d1c286&bb=5vyIRwYY9RXlej0Tbu9ZZTrHomWt64wO3vxdAxBxIRu2CiEndbQjL1PMy_9gkFFmM151J5Z2S6o8PaTheGy4U1Bc-7TIVjpogWU8t7UMgAIIHlMtMPckD43MQzWqsTnmfHAsqXw9nuYipFR0QKw88g%3D%3D&xkcb=SoBv67M3iLExdrTF1J0CbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWe7n-3RR29snHPIVTPNqKSWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6flam26s7001,Certificate of Education (PGCE or B.Ed). Relevant training or qualifications for the specific post. Experience teaching within a Key Stage or subject. A school with a strong sense of community.,,,indeed_sa,2026-06-05 06:10:48.288336+00:00
Orthopedic Surgery Registrar - Riyadh (207008),Nahdi,Riyadh,https://sa.indeed.com/rc/clk?jk=dad4a6198a4f1fbd&bb=5vyIRwYY9RXlej0Tbu9ZZe0Wr2wzAHAL3oIWVnPq0bwAP3HCmV2DpR-iSO-r0_EcRxhHYQG24RfEhvEzwpYY7WVnX9CQG8ln0TstME9ZH1MIlSKKx5DoteGS0E0WTCEk6-eNWji0H25pjcuL-92Hxg%3D%3D&xkcb=SoDb67M3iLExdrTF1J0DbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWe7n-3RR29snHPIVTPNqKSWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6flam26s7001,Working Hours : 8 net working hours according to shift schedule approved by head of department. 2 years of clinical experience following Master’s degree or is eligible to sit the board examination in…,,,indeed_sa,2026-06-05 06:10:48.219369+00:00
Customer Strategy and Planning Assistant Manager - Skin Cleansing,Unilever,Jeddah,https://sa.indeed.com/rc/clk?jk=742bd42470709054&bb=5vyIRwYY9RXlej0Tbu9ZZfCJ4xzC_IOOrGIBHU2_Omlh_xxCD1WHm0zQ_UzshsPPDP3E00GW49t1psK-zCg685id6vrp4Mhl5WsQWY-vRbPQO6hzfWsN7rFEybtG9olecqujpOeyDKmQ7ustozzqoQ%3D%3D&xkcb=SoC867M3iLExdrTF1J0LbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWe7n-3RR29snHPIVTPNqKSWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6flam26s7001,3 or 4+ Years of Experience in key account management experience or trade marketing experience within FMCG industry or Retail Industry. Provide a detail analysis on actual sales vs forecast result and…,,,indeed_sa,2026-06-05 06:10:48.147224+00:00
Senior Project Manager - Stadium Experience,Egis,Riyadh,https://sa.indeed.com/rc/clk?jk=865edead2eef978b&bb=YvDWH8DyN2yYCp2GYncBwkbvmy_4LJjapyEwKfWD0ZvaZfPftvYkkrJOq_gn_FLICZ5Y5cKhbJyMGz9xmcaWwyAn-Y3-Zj07tQMUH-x9dY1QlVy2bmvCDH4lPoTI23j7JY8qAy10CcoZBr2w3_n4cg%3D%3D&xkcb=SoBw67M3iLEx8OTF6B0dbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,"15 + years of design management experience on major buildings or infrastructure, with demonstrable experience delivering FIFA stadium projects (World Cup, continental championship, or equivalent tier-…",,,indeed_sa,2026-06-05 06:10:44.671004+00:00
Senior Project Manager - Stadium Experience,Omrania,Riyadh,https://sa.indeed.com/rc/clk?jk=349770aaab22137f&bb=YvDWH8DyN2yYCp2GYncBwqEa3xFlyOwhcywUzCE2FNTFG-A-BRfpWqQDnmLVN8ovU5jCHlOliG1R_vmEjjMcKdLhv7jFrzNi5PPuupbt1q6dCm82_gappNZPg-kxLCjg3VGBtBo4mQmmciBqHfH5tw%3D%3D&xkcb=SoBK67M3iLEx8OTF6B0bbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,"15 + years of design management experience on major buildings or infrastructure, with demonstrable experience delivering FIFA stadium projects (World Cup, continental championship, or equivalent tier-…",,,indeed_sa,2026-06-05 06:10:44.574908+00:00
Senior Roads Engineer,Surbana Jurong Private Limited,Riyadh,https://sa.indeed.com/rc/clk?jk=4902761e14bd239b&bb=YvDWH8DyN2yYCp2GYncBwjht3VzTSE70la1NMQ-GpuEprcDLrx6WOUw0Rjs_2HS6-sIkaaAMapIWfiyuGFwRARBud4iq6nFrclQVk--kxysoaVPNurK0uyV_GAXfdiUrqMvFyYyAVkx6hYv-mvhDkQ%3D%3D&xkcb=SoBt67M3iLEx8OTF6B0EbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,Utilize advanced engineering software to create detailed road and highway designs. Prepare construction drawings and support engineers with quantity take-offs and BOQs.,,,indeed_sa,2026-06-05 06:10:44.527474+00:00
Senior Project Manager - Stadium Experience,Omrania- عمرانية,Riyadh,https://sa.indeed.com/rc/clk?jk=66154d1f44e0ec0f&bb=YvDWH8DyN2yYCp2GYncBwmc5P-hB1qOdoSqcNT_bVFnNZ9arfTqlsOZmt7B6ZmjKB4NN4x7nBgJXMoci6VJlEoV1iqPxc1vmH0HC7OYdRbzK4mxqkhyRjTRt33veW4STq4ZPA-D4ugr3YjVulJb0hw%3D%3D&xkcb=SoDZ67M3iLEx8OTF6B0FbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,"15 + years of design management experience on major buildings or infrastructure, with demonstrable experience delivering FIFA stadium projects (World Cup, continental championship, or equivalent tier-…",,,indeed_sa,2026-06-05 06:10:44.479415+00:00
"Health Representative , Vaccines",Pfizer,Dammam,https://sa.indeed.com/rc/clk?jk=3c562cf1c3d05c62&bb=YvDWH8DyN2yYCp2GYncBwtKwt1MFvsHQMQAgRqsoHpoPCbo5iW2SV2-H8uH-MEaS5BUEIwTbMUPK0IDQUztjChDuXaNXvA-zDhNy9ru4NwZ8YWU7Ox5vCJtlDQ6gr8XiS8jRJzHar5NkTiGm5tPZng%3D%3D&xkcb=SoDw67M3iLEx8OTF6B0HbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,"Feedback to Team, Head Office and Manager of relevant competitor activity or local issues to ensure appropriate action can be taken. Responsible for maximizing Vaccines growth through the different…",,,indeed_sa,2026-06-05 06:10:44.427045+00:00
Endodontics Registrar - Riyadh,Nahdi,Riyadh,https://sa.indeed.com/rc/clk?jk=57ef15b0949cf9a4&bb=YvDWH8DyN2yYCp2GYncBwnrFtCueVX0k_s0oc1EySfOXCCdxU6NatMsSH2CIpr60z0glfTPAUYfEem7SMYCr6C39qCU8J3grSHGZMW-hD4PWIXf-KZz5fDT3In008HcU8R1kvJvW8xivaI5HSk1MIg%3D%3D&xkcb=SoBX67M3iLEx8OTF6B0CbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,Working Hours : 8 net working hours according to shift schedule approved by head of department. Service as a Registrar in the Endodontics Registrar department is to Diagnose and treat injuries or…,,,indeed_sa,2026-06-05 06:10:44.339095+00:00
"Manager Research (Investment Solutions Group), Assistant Vice President - State Street Investment Management",State Street,Riyadh,https://sa.indeed.com/rc/clk?jk=7d932e54ed1fe40c&bb=YvDWH8DyN2yYCp2GYncBwiAfxpbjb8hhVr-U3aCXoRs5Jer47x97fq7Qr3W5ztaTK2qM80XHE2d8XAIbEneAG6t6mm2QmJXjrGgvPB_w_fMcMZ_078a6doSGRWqJH7vKbK1CYdBV0tvdpvDe43QRvA%3D%3D&xkcb=SoDj67M3iLEx8OTF6B0DbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,You will need to periodically travel and meet with existing or potential internal or external investment management teams. 3+ years experience in a role conducting manager due diligence including…,,,indeed_sa,2026-06-05 06:10:44.290661+00:00
Early Career Trainee - Service Delivery Specialist,GE HEALTHCARE,Riyadh,https://sa.indeed.com/rc/clk?jk=77f1815f8bc01e2c&bb=YvDWH8DyN2yYCp2GYncBwhbiz68p-nYR9myimwXwRj5FOLaoFzaBhWrziqD_KRMTdC_U5J9pbox-nx2JA7dB_A00fUPLZvoC0lzJjgNv1eodDoNxyQQDL8S9uamRM9Ky2opmDNJAP_zLnn10ijq26w%3D%3D&xkcb=SoC-67M3iLEx8OTF6B0NbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrVNnlxhR3Dxzr6iWM9Uan5jWOxvghNOg8rM6Po_qXQU-g&atk=1jqb6fh85hmvh802,"Bachelor’s degree in, Engineering, supply chain management, or a related field (or equivalent work experience). Green Belt / Black Belt certified or familiar with Six Sigma quality concepts and tools.",,,indeed_sa,2026-06-05 06:10:44.237854+00:00
