Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Product Manager (Trust & Safety),Donorbox,Remote,https://uk.indeed.com/rc/clk?jk=cf7e57cfe154eded&bb=3zrHdXyvD1BdOmZebIe94qD9rNYExfCohuxVxbeGmhqVHO9eXH71LxaTlZ46WhuPrUJYOeDz4gAJINFsOpVySAgG9VMYXa1lFMItwQSDrnDDF7wOtn2pRo_dmEviPzl9WnxkAZQPUdklDORvfZVE1TeXO31E_bpzd02q5VHzULxqqs4PLrhvOJeO7KbRnCys_mKxDxwf6LtMekgZJmbMKxfXVDnjbKy-xX3TIt5VV_S9LZsODMgINQ%3D%3D&xkcb=SoA967M3iNMNlKzDaJ06bzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,"Proven track record of successfully developing and launching risk mitigation, identity verification (KYC/KYB), or fraud detection features.",Health & wellbeing programme,,indeed_uk,2026-06-05 23:31:18.078397+00:00
Project Intake & Governance Manager,BPM LLP,Remote,https://uk.indeed.com/rc/clk?jk=e5a9ee60b9f80db2&bb=3zrHdXyvD1BdOmZebIe94gr8MwqMQxREGXDZkJhT9VuJ8AjlSpc8hNltNfgcacu6uSKLyw4H2ozeZIASpJdZq2L7R56hZjMdVArIvhuJw-uUzAhb8ix3mn2bivag83w6Orupui3ZuuHQtIeOFM0P_7GpZqkGCd5pQecKYK-3CQpkuLNFI7eixw41lPoVatoJlY0MLpw7MG46LDHbWGqwE0OKeZvYbMiM20HO-6j3emyJEFyCmFtcrg%3D%3D&xkcb=SoCu67M3iNMNlKzDaJ0kbzkdCdPP&fccid=813ec6bda8349be9&vjs=3,Experience supporting PMO or portfolio management functions. 4–6+ years of project management or PMO experience. Business case and problem statement.,,,indeed_uk,2026-06-05 23:31:18.015433+00:00
Independent Contractor - Technical Gameplay Programmer,Dandylion Games Ltd,Remote,https://uk.indeed.com/rc/clk?jk=ed4de5b0f775f180&bb=3zrHdXyvD1BdOmZebIe94nayq6sCJDxl3Y2U63bbvGjDLOdG4K9KYLMGZSZ2wSjxpDP_UVR_nIMBwsJI7Q0kmm1i-nbCcA4yN9V0oG0hU0D5D_7Bs4DZ_gSrReDJnZm0fB_SUdMJTqcgccyFQDwvU5nCKFpe1KE25zuWVTiTuRNbjDXiq5mTfu45TwSmXT1QCmU0vzgrK9C1dTjkEugHGm3FuwXU0aEUokpkksCkRwAm6lx4X6QPvA%3D%3D&xkcb=SoCH67M3iNMNlKzDaJ0mbzkdCdPP&fccid=215abd348ffcec4a&cmp=Dandylion-Games-Ltd&ti=Programmer&vjs=3,Released or in-development projects you have contributed to. Gameplay Ability-style systems or custom gameplay systems. Comfortable working in Unreal Engine.,,,indeed_uk,2026-06-05 23:31:17.954419+00:00
Gas Engineer,Berkshire Heat,Remote,https://uk.indeed.com/rc/clk?jk=75711c0704f9ce9d&bb=3zrHdXyvD1BdOmZebIe94swJ_zJwicR31ed3Mnd5FnqaOf_eVfsE-Mavy6c-5SWjA8QAiFAvhLBnWEPMC24Z_4oDkK3tbrH53gZPLzph0Gu6DzG4hpU28qakaeRgr-TSc5hcvUXvWg9wdLDckJOBXOlaXREx9LG4x5cWtEth1-HivdU-aNoMMHNBsLPymDGNcBK5LAo9YLxnKwf_jBmf2uvBoxrU1J9g8AEcEFd9--lsq1URuDXhsg%3D%3D&xkcb=SoAz67M3iNMNlKzDaJ0nbzkdCdPP&fccid=3d9d679a47637687&cmp=Berkshire-Heat&ti=Gas+Engineer&vjs=3,"We are currently looking for a Gas Safety registered Engineer to work on various sites around Surrey, Hampshire, Berkshire and Oxfordshire. 45 hour Week. …",,,indeed_uk,2026-06-05 23:31:17.885342+00:00
Product Manager - Geospatial Data,Idox Group,Remote,https://uk.indeed.com/rc/clk?jk=8b23db7557301aa7&bb=3zrHdXyvD1BdOmZebIe94jP0pZ4IUoJLcx6lJMVVZCvZsCsJG1y8R49zzDd80wHfF4ZXnHg3_aVdhsuUbr6jnuoOdC_hg-tnLT60-svC_HQ7bAUqFIvF3oUzuZhOx09IXQe8jhj6hH9_8NOQhEYxob4Vbe2aYspTGemSH2sCd-jBCp1Fdi6ha5ImvV0BIOVlsgcb-eiImCcSYo8ff2AGq1ytcPu45GIKp5_zMcVcA-0gjPR6JlaM4A%3D%3D&xkcb=SoC967M3iNMNlKzDaJ0gbzkdCdPP&fccid=f6526bd6cf747e65&vjs=3,"A Product Manager is responsible for the overall vision, strategy, and success of a product. They focus on understanding customer needs, market opportunities,…",,,indeed_uk,2026-06-05 23:31:17.823316+00:00
Head of Development – Tebex,Overwolf,Remote,https://uk.indeed.com/rc/clk?jk=2557faf61c3594da&bb=3zrHdXyvD1BdOmZebIe94gSJp5kc_qIIsAStR2Ndwj3ul-Y7VLuoSK5Q-Rlup1O8AFrSspsR7DmkUF1XibgteJxXP29VRQgpE249NPd7iWqanbIFoQd3rit0Q4fWUug3RcLNk84u_O4KgX2DAj52exxagMp4YCfoeGoTnIPSr0nsCnSRvhUd2NZ_ITtrzaLywCSx-eRGkYshsvN21kkSLE_4fRABq2Vo_bx2M8SFd6XkvCc6_81U9g%3D%3D&xkcb=SoAJ67M3iNMNlKzDaJ0hbzkdCdPP&fccid=c8234b7f54c92df6&vjs=3,"Proven track record of managing 15–20+ developers and QA engineers , directly or indirectly. Based in the UK and eligible to work full-time.",Private medical insurance,,indeed_uk,2026-06-05 23:31:17.736169+00:00
Software Development Engineer in Test,AccessPay,Remote,https://uk.indeed.com/rc/clk?jk=3338dd607ca1f417&bb=3zrHdXyvD1BdOmZebIe94qYtA1J78tfGEmmDkkgTfAzrjsi3Ibo41cf7glhZJM6rRUSVP7KVIJxSvo6mrKS6YWB5vcKA0xojCXikIIodGTCdaOGfudUgS7W9CRw91hQudcaM9T4vQ0XOcHUP0XzAKt-fUqCqw1y9qkmoUdKNtQiBr6-mSFk1PJFCDhGSkXikrT38vQ59ViPRra0Jfo9AtRx6QotLTjqk64UmOSFoTT_SNRuX6mKtzQ%3D%3D&xkcb=SoCU67M3iNMNlKzDaJ0ibzkdCdPP&fccid=54db9f48a1d8a992&vjs=3,"NET, xUnit and Playwright or Cypress. Experience performing API testing using tools such as Postman, RestSharp or similar. Strong development skills in C# .","Company pension,Cycle to work scheme",,indeed_uk,2026-06-05 23:31:17.654908+00:00
Paid Search Strategist,Tinuiti,Remote,https://uk.indeed.com/rc/clk?jk=b30c35651e079a1f&bb=3zrHdXyvD1BdOmZebIe94tH2aPwavkeF86F1W8nDZMYPcoSF-uEJwBAYR6a06WCzh3ct8G_T4JaCfWZU_2dAIRVZ-3ltyGiQreF_qImbVAEmgwMAQ5DHnh7jw6jtZMjPDME37B-3sHN21WCClpNMvClTYA03PGpmOOq04oly9er84HJ0VhAs6dvi0ndsYoB_U1wQzp9aGhskgds6S8p7eSBoJGQ8ReZ-lBXahc3guNmYaLrsZVjxIg%3D%3D&xkcb=SoAg67M3iNMNlKzDaJ0jbzkdCdPP&fccid=95b57c1a0b549898&vjs=3,"Certifications: Google Search & Shopping (or completed in the first 60 days). As a Paid Search Strategist you will drive efficient, profitable client growth…","Employee mentoring programme,Annual leave,Life insurance,Unlimited paid holidays,Additional leave,Company pension",,indeed_uk,2026-06-05 23:31:17.514094+00:00
Senior SDET,Semble,Remote,https://uk.indeed.com/rc/clk?jk=3628a06958e0effc&bb=3zrHdXyvD1BdOmZebIe94vbh2exkpYxmXd3cXjRmTYNyNdEj-c4VmMwEkFuTZJgLd9pV_ZzJIhdpgZlE6ag6M8vZizlTetX5mW0NQTYz319lrwywYm_OoeMZC6L-s83aOH4tXj1zuF9qZ7-jV1XGGQa_icHmyvs4ZQgqxlyt9qGviqeqQCQz-FRxsPzCiuaEI6hC1nt71C8Rip7Q49ks56OUnk7fz6969CXQTOEr80DOfN6AoeHndw%3D%3D&xkcb=SoDJ67M3iNMNlKzDaJ0sbzkdCdPP&fccid=40135562d4320234&vjs=3,5+ years of professional experience as SDET or Test Automation Engineer. This role can be fully remote in the UK and EU (with occasional travel to our London…,Private medical insurance,,indeed_uk,2026-06-05 23:31:17.470908+00:00
Internal Quality Assurer (IQA) — Multiple Apprenticeship Standards,Candor Professional Beauty Academy,Remote,https://uk.indeed.com/rc/clk?jk=86844cbc5de99d8c&bb=3zrHdXyvD1BdOmZebIe94t-OINrLfXq1yMRwo2nfeDfbByZlFN3FQt3MlkEiFUuEO2f0rCR8ZRuTUuRIRSo7xnyL2Lb_U_UYoQd2Use5BQzPQyQJd-chXoshhz-6GR4w5O90U8OIevpu2SAJc1HpsUUpuOn3xKS0oAVvlJ_bTv3D1De0uuUVc1PO2oBfRCYzgCaeine_5KyRcRbE-ugkkAurYJBW7WF6bjIeX4EK_GuQDsWRliwvNg%3D%3D&xkcb=SoB967M3iNMNlKzDaJ0tbzkdCdPP&fccid=29c4105cd1d91e99&cmp=CANDOR-Professional-Beauty-Academy&ti=Quality+Assurance+Analyst&vjs=3,Experience across multiple apprenticeship standards or sectors. Recognised IQA qualification (TAQA Level 4 or equivalent). Content Creator Level 3 ST0105.,,,indeed_uk,2026-06-05 23:31:17.395781+00:00
Enterprise Customer Success Manager,Glassbox Ltd.,Remote,https://uk.indeed.com/rc/clk?jk=b950bd6e5ffa8611&bb=3zrHdXyvD1BdOmZebIe94pQhG0tLF7qPhLLcBAvLTR-2T5EQ_0Q-WpfmMwkD5HilleL8bqpZdw24REHssvvHxW1YAK656fgmQZxWXe3ysi575nf4LwV9E2SLRowoSM8onvp6RwJPdjMvunl-txEH9y7NRKFn7eqEsqYijLBJepJoU6q2fVnm70vb6oxciIZh5-k6Fuk006hXB0cMV5b1bDjXws8WAzt39Zr82VKE9zc60FY3imwklQ%3D%3D&xkcb=SoDg67M3iNMNlKzDaJ0ubzkdCdPP&fccid=fdbf4b3294917179&vjs=3,"Bachelor's degree or equivalent experience; MBA or consulting background is a plus. Background in digital experience analytics, digital experience optimization,…",,,indeed_uk,2026-06-05 23:31:17.303064+00:00
Platform Architecture Lead,FactSet Research Systems,Remote,https://uk.indeed.com/rc/clk?jk=0ed6b9f147ca0cd6&bb=3zrHdXyvD1BdOmZebIe94s-UPPk7XRJsoNkAVAUEKW-fZWXbrkUQ-oz80AJcB8ZiUu43VKXKT9Qg3GtXv_5770Pjnxuy2Vq8rIed-Em2zDREtYYnMV2T6ctIPJOr4-eLbrKlLX7SpKEY_9F63mHikex41CZF6QkwqgeZlGY6gSR86fP3DM-Jd6r1TWQlbBryj_w0MlRjUq2u2BqDJnZwBTV3iGsB8IsgfVJ4EzwQdXw%3D&xkcb=SoBU67M3iNMNlKzDaJ0vbzkdCdPP&fccid=7ca19d158e5b580d&vjs=3,B.S. or M.S. in Computer Science (or equivalent field). Familiarity with developer portals and service catalogs (Backstage or equivalent).,,,indeed_uk,2026-06-05 23:31:17.247073+00:00
Senior Mobile Engineer (React Native & Frontend),Ocean Technologies Group,Remote,https://uk.indeed.com/rc/clk?jk=0feb4faf7dffc7ee&bb=3zrHdXyvD1BdOmZebIe94oqYLqK_i9oE6nVBLT90o_cx-PO2umhHkmiVIQEMKIx8rBspohE2HiAfaX7pEtb9D-QmDP5Gm85s5j3U2LGR_UwylMfBQt50dS5NC5rwiK99urltbMPvNtxuD2BorJDFSg9X1wIZBgghzQwq82HXYp7ItrZu9CEbDlmWpkNuQEEE2iSpQfNxcj5pk7lMBbB-e33uc6pzzFpSB1o8N3Vt4PyglHw6Q-fYJg%3D%3D&xkcb=SoBu67M3iNMNlKzDaJ0pbzkdCdPP&fccid=19f30c9c4ed02579&vjs=3,State & Styling: Your preferred modern styling stack. Ship to Production: Take full ownership of the lifecycle for both iOS and Android platforms.,,,indeed_uk,2026-06-05 23:31:17.191812+00:00
