Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Maintenance Engineer – HVAC,Wadi Degla Trading & Engineering Projects - Egypro,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/maintenance-engineer-%E2%80%93-hvac-at-wadi-degla-trading-engineering-projects-egypro-4419282164?position=60&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=b3R0%2BtaSFQYYKFuBFkqiyA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.302631+00:00
Mechanical Engineer - Internship,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/mechanical-engineer-internship-at-ratp-dev-mobility-cairo-4422426720?position=59&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=Ny6mun0%2BN2mwN2DkwcvWJA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.258799+00:00
Cloud Security Analyst,Alignerr,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/cloud-security-analyst-at-alignerr-4422183352?position=58&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=8%2FfR%2Bnd6aYoKN61XgqL6HA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.214498+00:00
"Fortinet Security Engineer - 3 Months project - Dubai, UAE",DeepSource Technologies,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/fortinet-security-engineer-3-months-project-dubai-uae-at-deepsource-technologies-4422353475?position=57&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=2rEK3yjyt3fJGIek1RXKcA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.146016+00:00
Senior Software Quality Assurance Engineer,Systems Limited - Egypt,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-software-quality-assurance-engineer-at-systems-limited-egypt-4422361310?position=56&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=61gkOJrKu5A5lWvg8Z%2BAZQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.103231+00:00
Electrical Engineer - Internship,RATP Dev Mobility Cairo,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/electrical-engineer-internship-at-ratp-dev-mobility-cairo-4422421782?position=55&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=ugSR19Z725UW6J%2BYylvYQg%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:29.064342+00:00
Technical Support Engineer,Premier Services and Recruitment,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/technical-support-engineer-at-premier-services-and-recruitment-4421890930?position=54&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=6nDnL8drLhzV4t5PD9TBTA%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-02 17:31:29.021772+00:00
control project engineer (commissioning and start up),SwissCO: Contracting and Trading Co.(W.L.L),"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/control-project-engineer-commissioning-and-start-up-at-swissco-contracting-and-trading-co-w-l-l-4418738765?position=53&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=BgLu8VbtRWJ1hRtQNFtUJA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.977206+00:00
One Identity Consultant (Remote),EfficientVision,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/one-identity-consultant-remote-at-efficientvision-4419295484?position=52&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=BG0CPnrO4tMsCJQOrzROTg%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.934068+00:00
Senior Mechanical Engineer,TAQA Water,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-mechanical-engineer-at-taqa-water-4423906875?position=51&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=RgeOgupPqwOnL1JD7Ybq%2Fg%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.892010+00:00
Engineer_Dry Utility,AtkinsRéalis,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/engineer-dry-utility-at-atkinsr%C3%A9alis-4418953422?position=50&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=7KturjMnmWtGIkPOOAcsfA%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-02 17:31:28.845815+00:00
Business Development Engineer,OMSI Group,"Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/business-development-engineer-at-omsi-group-4419259205?position=49&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=5SPhbEU%2BCY%2FIYzcuF7SJ%2Bg%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.804252+00:00
Site Civil Engineer,EGYCONST,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/site-civil-engineer-at-egyconst-4419295354?position=48&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=zphszD5r1dNry3i5dQmueQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.764026+00:00
Data Engineer-Data Platforms-Databricks,IBM,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/data-engineer-data-platforms-databricks-at-ibm-4419285818?position=47&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=Ar8In0bkwm%2FexYQFtyd1PQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.720089+00:00
Power Generation Technical Office Section Head,TAQA Water,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/power-generation-technical-office-section-head-at-taqa-water-4423907837?position=46&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=LzXuqjy%2FcXaaMwmXrdkgZw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.677045+00:00
Solution Architect - Inventory,Ericsson,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/solution-architect-inventory-at-ericsson-4423895915?position=45&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=3BbgRZstnkoUkr6V7R0BeQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.631269+00:00
Senior Site Engineer,ASquared Landscape,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-site-engineer-at-asquared-landscape-4419605512?position=44&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=E7gtG%2BAI04gdQbIpD5jklA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.591184+00:00
Senior Data Engineer,Arrow Components,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-data-engineer-at-arrow-components-4422300655?position=43&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=3cHlYRa0qLxhvQ1qa8zmXQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.552787+00:00
Digital Construction Engineer,DISTY 360,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/digital-construction-engineer-at-disty-360-4419296147?position=42&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=f695RBNUh7Apxthu4kg7Mw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.506653+00:00
Java Backend Developer,QNBeyond Plus,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/java-backend-developer-at-qnbeyond-plus-4419290091?position=41&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=ANEXlWdX1iavRHJKcz0SIg%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.458381+00:00
Senior Presales Engineer – VMware & Cloud Services,El-Delta Electronic Systems,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-presales-engineer-%E2%80%93-vmware-cloud-services-at-el-delta-electronic-systems-4423895618?position=40&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=YB2oQoqqz2qcAr6X%2B62y3Q%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.413620+00:00
Contracts Engineer - Cairo,Innovo Group,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/contracts-engineer-cairo-at-innovo-group-4423862839?position=39&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=%2BLKuAbVWaZJZayXV1ueHww%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.366210+00:00
Fullstack Python Developer - Remote Work,BairesDev,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/fullstack-python-developer-remote-work-at-bairesdev-4423946743?position=38&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=%2Fi5TD6Nq5%2B3iTQC0DB6D4g%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.326121+00:00
Support Consultant I/II,Appficiency Inc.,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/support-consultant-i-ii-at-appficiency-inc-4413098597?position=37&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=%2FUypbt1nRC7%2FiJi%2BABADXw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.281870+00:00
"Sr Engineer 1, Engineering",Archer Integrated Risk Management,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/sr-engineer-1-engineering-at-archer-integrated-risk-management-4419600745?position=36&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=pXDicZHOq4yAapiiuFDDmw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.238685+00:00
BIM Engineer,Colas Rail Egypt كولاس ريل مصر,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/bim-engineer-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4419618093?position=35&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=0F6pOJAHkkMHfUwn%2FlKuaA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.185646+00:00
Head of DevOps,JATDEV Middle East,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/head-of-devops-at-jatdev-middle-east-4419282174?position=34&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=fapZE3%2B0%2F7MjViaF1AqGJA%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.104239+00:00
Senior Data Scientist,Coca-Cola HBC,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-data-scientist-at-coca-cola-hbc-4410533231?position=33&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=LhGPhuY8Rrjlxzl7CgZkJQ%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.061329+00:00
PV Technical Office Section Head,TAQA Water,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/pv-technical-office-section-head-at-taqa-water-4423901868?position=32&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=UEzchG3%2BuYc2wNPmzIMZvw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:28.008621+00:00
Electrical Operation and Maintenance Engineer,TAQA Water,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/electrical-operation-and-maintenance-engineer-at-taqa-water-4423920070?position=31&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=8PeYodCFmI56hkCLR%2F8ZUw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:27.966789+00:00
Technical Support Engineer,Regency Gate Group,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/technical-support-engineer-at-regency-gate-group-4419287823?position=30&pageNum=0&refId=OfwNoAU%2BX0LU8ymAjkuMCg%3D%3D&trackingId=NUFBX3fJFzd5vaOlAsmyQw%3D%3D,,Posted 2026-06-02,,linkedin_eg,2026-06-02 17:31:27.923043+00:00
