Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Mechatroniker:in für Kältetechnik im Service (m/w/d),EPTA GROUP,"Wiesbaden, Hesse, Germany",https://de.linkedin.com/jobs/view/mechatroniker-in-f%C3%BCr-k%C3%A4ltetechnik-im-service-m-w-d-at-epta-group-4424912554?position=47&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=wK4xFV98oG4M8SoIFTZMrQ%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:14.293750+00:00
Business Development Representative (m/f/d),Mews,Germany,https://de.linkedin.com/jobs/view/business-development-representative-m-f-d-at-mews-4413355886?position=45&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=jf1765GWUVo4Szf8VyAeKw%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:14.209866+00:00
Mechatroniker für Kältetechnik in der Wartung (m/w/d),EPTA GROUP,"Oldenburg, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/mechatroniker-f%C3%BCr-k%C3%A4ltetechnik-in-der-wartung-m-w-d-at-epta-group-4424922478?position=44&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=koS466f8Lp1gJQ6IHUDL1w%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:14.164460+00:00
Werkstudent (m/w/d) Digitalisierung & Webentwicklung in der Fertigung,tesa,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/werkstudent-m-w-d-digitalisierung-webentwicklung-in-der-fertigung-at-tesa-4421186473?position=43&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=HuwZsNlbtOosVh1mxwbRmQ%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:14.112009+00:00
Senior/Staff Product Manager - Internal AI (d/f/m),Personio,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/senior-staff-product-manager-internal-ai-d-f-m-at-personio-4421183640?position=41&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=p%2Fe9nfLWR5GhJV0NyoECUg%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:14.030487+00:00
Senior Data Consultant Operations (m/w/d),ERGO,"Düsseldorf, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/senior-data-consultant-operations-m-w-d-at-ergo-4416250624?position=40&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=JiKdY6O1XFv82cPTu03lGA%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:13.963762+00:00
CAD Konstrukteur (m/w/d),Johann Osmers GmbH & Co. KG,"Bremen, Bremen, Germany",https://de.linkedin.com/jobs/view/cad-konstrukteur-m-w-d-at-johann-osmers-gmbh-co-kg-4424922385?position=39&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=8kVTuaN2RceHHFlTcIldzw%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:13.900453+00:00
Projektingenieur m/w/d - Thermische Bauphysik,VINCI Energies,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/projektingenieur-m-w-d-thermische-bauphysik-at-vinci-energies-4424914197?position=37&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=L1PMIq2GLlV5VANnZRwoqQ%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:13.832523+00:00
Projektingenieur m/w/d - Schallimmissionsschutz / Technischer Schallschutz,VINCI Energies,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/projektingenieur-m-w-d-schallimmissionsschutz-technischer-schallschutz-at-vinci-energies-4424907342?position=36&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=WZM7rEup95j2F5ta%2BSAfcw%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:13.771224+00:00
Mechatroniker (m/w/d),OPmobility,"Bremen, Bremen, Germany",https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-opmobility-4398604253?position=35&pageNum=0&refId=O7VuIFu%2FOur52sldEqeE3A%3D%3D&trackingId=kBT4r51Zfe6UlOh6fB8AlQ%3D%3D,,Posted 2026-06-05,,linkedin_germany,2026-06-05 22:47:13.717933+00:00
