Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Senior Cost Control Engineer,Confidential,الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-cost-control-engineer-at-confidential-4425139187?position=60&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=76J066ITnlFXAp9vgIEA0A%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.589696+00:00
Scaffold Design Engineer,Asmacs-Qatar,السعودية,https://sa.linkedin.com/jobs/view/scaffold-design-engineer-at-asmacs-qatar-4421549813?position=58&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=j7qj9b1umj%2FPbjEkLCWfag%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.523575+00:00
Chemistry & Python Expert - Freelance AI Trainer,Mindrift,السعودية,https://sa.linkedin.com/jobs/view/chemistry-python-expert-freelance-ai-trainer-at-mindrift-4425119476?position=57&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=tvBpI0djMbNfoUvkip%2FVFw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.460526+00:00
Senior Communications Engineer (f/m/d),Deutsche Bahn,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-communications-engineer-f-m-d-at-deutsche-bahn-4424956507?position=56&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=YKTnfDcGx3zg0%2B6AiY5fuA%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.400581+00:00
Senior Technical Account Manager,"Dragos, Inc.",السعودية,https://sa.linkedin.com/jobs/view/senior-technical-account-manager-at-dragos-inc-4393836080?position=55&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=6vWolq5RDh2%2BpDZTciEkFg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.336435+00:00
Localization Specialist,DataAnnotation,السعودية,https://sa.linkedin.com/jobs/view/localization-specialist-at-dataannotation-4305168257?position=54&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=hJXeXj%2FZAXmnd3n1QGqZbQ%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.254165+00:00
Business Angel Wanted - Back the Future of Hiring,TALBOOST LTD.,السعودية,https://sa.linkedin.com/jobs/view/business-angel-wanted-back-the-future-of-hiring-at-talboost-ltd-4421553614?position=53&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=isEdAPZmWLB15YJd5JDo8w%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.191164+00:00
Senior Process Engineer,Fluor Corporation,السعودية,https://sa.linkedin.com/jobs/view/senior-process-engineer-at-fluor-corporation-4415384187?position=51&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=nRNAaLct9bcfO%2FLKUr4fxw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.102481+00:00
AI Business Transformation Manager,Photography Studio AlWaleed,الشرقية المِنْطَقَة الشَّرْقِيَّة السعودية,https://sa.linkedin.com/jobs/view/ai-business-transformation-manager-at-photography-studio-alwaleed-4421560558?position=49&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=qNpSETcH8pe1bGo330ks0Q%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:40.023551+00:00
Tutor,DataAnnotation,السعودية,https://sa.linkedin.com/jobs/view/tutor-at-dataannotation-4304443364?position=48&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=b7ytrtylFAP8T%2BAT%2BSkqfw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.963163+00:00
Senior Transportation Systems Engineer (f/m/d),Deutsche Bahn,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-transportation-systems-engineer-f-m-d-at-deutsche-bahn-4424963392?position=47&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=CGJFrf7Occ0uRnGrIA3Brw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.905208+00:00
"Strategist, Saudi Arabia",Scale AI,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/strategist-saudi-arabia-at-scale-ai-4364364161?position=46&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=pZaPwv7TYyJuwbCrdhEPCA%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.845398+00:00
Platform Ops Lead,"NTT DATA, Inc.",الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/platform-ops-lead-at-ntt-data-inc-4412037292?position=45&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=vHdBgtw9AnxcWuwVwFicHw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.789144+00:00
"Product Manager of AI Applications, Global Public Sector",Scale AI,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/product-manager-of-ai-applications-global-public-sector-at-scale-ai-4363534320?position=44&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=%2B7zBnz43skVI1JfwED6nqw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.727196+00:00
"Install Technician, Infrastructure Delivery, AWS",Amazon Web Services (AWS),الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/install-technician-infrastructure-delivery-aws-at-amazon-web-services-aws-4425140170?position=43&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=Iz4DTRui67p2n%2FoXglyazA%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.667890+00:00
Senior Planning Engineer,Confidential,الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-planning-engineer-at-confidential-4425144156?position=42&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=pUhZSD7Mvuh%2FkZ5aEUNgwg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.605920+00:00
Electronics Engineer (Transportation Systems Signals) (f/m/d),Deutsche Bahn,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/electronics-engineer-transportation-systems-signals-f-m-d-at-deutsche-bahn-4424958387?position=41&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=oJS%2BmqRZtHr7xRENgEHdQg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.524205+00:00
SQL & Oracle DBA,DXC Technology,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/sql-oracle-dba-at-dxc-technology-4324259718?position=40&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=9V4ciajhod7BTAB5Pz4Bew%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.460318+00:00
EHS Engineers,Larsen & Toubro,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/ehs-engineers-at-larsen-toubro-4366718508?position=38&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=Y5KiLWTgI33dhnc2%2FJozpg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.396393+00:00
Senior Procurement Engineer,Confidential,الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-procurement-engineer-at-confidential-4425137167?position=37&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=%2BbXeYRvq7XMcqRFP7YoP2w%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.337809+00:00
Senior QS Engineer,Confidential,الرياض السعودية,https://sa.linkedin.com/jobs/view/senior-qs-engineer-at-confidential-4425135195?position=36&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=EpgCNi7SUFKRMwAPPzk5Dg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.280002+00:00
Presales Lead (Radiology AI),Harrison.ai,السعودية,https://sa.linkedin.com/jobs/view/presales-lead-radiology-ai-at-harrison-ai-4374495961?position=35&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=h%2Fz%2B%2BJJox6J07iTZn6cHhQ%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.219378+00:00
Process Safety Engineer,Fluor Corporation,السعودية,https://sa.linkedin.com/jobs/view/process-safety-engineer-at-fluor-corporation-4415381373?position=34&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=Bwe7UiL0aZQpjpZha1IIPQ%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.152792+00:00
Network and NW Security Engineer L3,Prospex Development,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/network-and-nw-security-engineer-l3-at-prospex-development-4424687066?position=33&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=DoYEKm0ay50LgGbbmnkNGw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.077555+00:00
Linux\AIX\Container,DXC Technology,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/linux-aix-container-at-dxc-technology-4324239901?position=32&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=xxm4BYMuLbd4NxRNOszt0g%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:39.013070+00:00
Irrigation Engineer,Confidential,الرياض السعودية,https://sa.linkedin.com/jobs/view/irrigation-engineer-at-confidential-4425148107?position=29&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=5Ufiq8gj41SYyl1Iix%2B2WQ%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.954182+00:00
Process Control Engineer,Fluor Corporation,السعودية,https://sa.linkedin.com/jobs/view/process-control-engineer-at-fluor-corporation-4415371944?position=26&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=eHaGRWza5wUmlseNJb8fMg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.852054+00:00
Site Engineer - Saudi Nationality By Law,Work Gateway,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/site-engineer-saudi-nationality-by-law-at-work-gateway-4421530284?position=23&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=QTG8GysS%2BErS%2FcLmzghqSw%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.782948+00:00
Valve Engineer,Asmacs-Qatar,السعودية,https://sa.linkedin.com/jobs/view/valve-engineer-at-asmacs-qatar-4421548817?position=22&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=foSRiBFRBVpqvnH%2FVb1CRg%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.711597+00:00
"Sr. Specialist I, Cybersecurity Job",TASNEE,Riyadh Region,https://sa.linkedin.com/jobs/view/sr-specialist-i-cybersecurity-job-at-tasnee-4402458852?position=21&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=4E7adZvbAXPysp5AaUMGsQ%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.647947+00:00
RR-0203072 - Sr Analyst III Software Engineering,DXC Technology,الرياض الرياض السعودية,https://sa.linkedin.com/jobs/view/rr-0203072-sr-analyst-iii-software-engineering-at-dxc-technology-4324149738?position=19&pageNum=0&refId=f85yNAJ%2FGe5FPRB8Z9IgOA%3D%3D&trackingId=gXeX6xsPCm%2BQZdYkcyd4XA%3D%3D,,Posted 2026-06-06,,linkedin_sa,2026-06-07 00:54:38.558761+00:00
