Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Enterprise Business Development Representative (German + Arabic speaker),Process Analytics Factory - PAFnow by Celonis,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/enterprise-business-development-representative-german-%2B-arabic-speaker-at-process-analytics-factory-pafnow-by-celonis-4424499775?position=24&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=nleBmhT3%2BSCVooD2mAuv8Q%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.505126+00:00
Ingeniero Comercial (Sector químico),Catenon,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/ingeniero-comercial-sector-qu%C3%ADmico-at-catenon-4424145657?position=21&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=NzdNmhHIDh7mLtqTOxzFxg%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.430795+00:00
Head of Customer Success,Jobgether,Greater Madrid Metropolitan Area,https://es.linkedin.com/jobs/view/head-of-customer-success-at-jobgether-4424499647?position=20&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=tloSyFlgSLTm%2FkqysgcVAA%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.354365+00:00
AI Business Development (Mid-Level),Fastrack,Greater Madrid Metropolitan Area,https://es.linkedin.com/jobs/view/ai-business-development-mid-level-at-fastrack-4421119077?position=18&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=GWv9Yo2AHwx%2FpUoBuuZVAA%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.294670+00:00
Desarrollador/a Cobol CICS Db2,RCassociats,Spain,https://es.linkedin.com/jobs/view/desarrollador-a-cobol-cics-db2-at-rcassociats-4424513606?position=17&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=0BgkOOg0nU%2FjRAGQSb6h2w%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.189084+00:00
"ANALISTA PROGRAMADOR OBIEE ODI, TELETRABAJO 100%",Krell,Spain,https://es.linkedin.com/jobs/view/analista-programador-obiee-odi-teletrabajo-100%25-at-krell-4424156189?position=16&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=telP6sLInWFe%2F%2BXfHonxrw%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.129683+00:00
Product Manager IA & Chatbots,CAS Training,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/product-manager-ia-chatbots-at-cas-training-4421104042?position=14&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=ZhS38uGUWqVhTJoGKCeyYA%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:49.050433+00:00
Técnico/a de Redes,SEMIC,"Bilbao, Basque Country, Spain",https://es.linkedin.com/jobs/view/t%C3%A9cnico-a-de-redes-at-semic-4421122028?position=13&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=anXouxgWDDEfxANP1IOIEg%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.982968+00:00
Security engineer,Bending Spoons,"Málaga, Andalusia, Spain",https://es.linkedin.com/jobs/view/security-engineer-at-bending-spoons-4424498828?position=9&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=0LzFHyHOXxqglzAb6o3fJg%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.809044+00:00
Gestor/a de proyectos,SEMIC,Greater Palma de Mallorca Metropolitan Area,https://es.linkedin.com/jobs/view/gestor-a-de-proyectos-at-semic-4421104563?position=8&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=wZ1hpJ%2BurhElAt5kFX3phg%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.735579+00:00
Data Engineer Fabric,Tokiota,Spain,https://es.linkedin.com/jobs/view/data-engineer-fabric-at-tokiota-4419244864?position=7&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=CG%2BOdkWVZnA8qqcE7dCcYw%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.663694+00:00
Security engineer intern,Bending Spoons,"Málaga, Andalusia, Spain",https://es.linkedin.com/jobs/view/security-engineer-intern-at-bending-spoons-4424508687?position=3&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=3gxi65RSYWmV6WGMvuLMUw%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.474034+00:00
Frontend Engineer,Huspy,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/frontend-engineer-at-huspy-4406997184?position=2&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=FoMVV5Hhyk97%2BVy7omPkiA%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.416836+00:00
Backend Software Engineer,Huspy,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/backend-software-engineer-at-huspy-4399600648?position=1&pageNum=0&refId=7%2BbsyUqJ8gQWPscSCDwssQ%3D%3D&trackingId=VToTWkW3zD9ZrqCdld81HA%3D%3D,,Posted 2026-06-05,,linkedin_spain,2026-06-05 06:07:48.319055+00:00
