Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Central Planning Manager,OVO,United Kingdom,https://uk.linkedin.com/jobs/view/central-planning-manager-at-ovo-4421193436?position=10&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=NTx24KaEs%2BH%2B0TstjyRtrw%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:25.301594+00:00
Partnerships Lead - B2B SaaS,Goodlord,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/partnerships-lead-b2b-saas-at-goodlord-4424639005?position=8&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=uor%2BFvQiOm%2FUDV5kha1QcA%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:25.208795+00:00
Senior Analyst,OVO,United Kingdom,https://uk.linkedin.com/jobs/view/senior-analyst-at-ovo-4421178504?position=7&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=RhNqP39n7InEuc6dnwYupw%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:25.105992+00:00
Data Scientist - Supply Chain Optimisation,Ciena,United Kingdom,https://uk.linkedin.com/jobs/view/data-scientist-supply-chain-optimisation-at-ciena-4424620929?position=6&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=PQAqvnRT%2BXEVvtU2vXWgQQ%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:25.019777+00:00
"Manager, Cloud Infrastructure Engineering",Camunda,United Kingdom,https://uk.linkedin.com/jobs/view/manager-cloud-infrastructure-engineering-at-camunda-4421183726?position=5&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=jX5Vwe%2FcCM5n7elB1lXkWg%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:24.922891+00:00
Data Analyst Training And Internship Program,Ededge Learning,"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-training-and-internship-program-at-ededge-learning-4424919439?position=4&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=0Uchm7uu%2F%2Bzz3NvH9vF%2F1g%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:24.850957+00:00
Data Analyst,OVO,United Kingdom,https://uk.linkedin.com/jobs/view/data-analyst-at-ovo-4421175604?position=3&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=WzlFcwNRzrdbW0SZ%2FOr4lg%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:24.760759+00:00
Staff Software Engineer - Data Solutions & Measurement,Cint,United Kingdom,https://uk.linkedin.com/jobs/view/staff-software-engineer-data-solutions-measurement-at-cint-4424912907?position=2&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=rV2cLFMaiRf43ePAC5v4pg%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:24.680378+00:00
Senior Software Engineer,trg.recruitment,United Kingdom,https://uk.linkedin.com/jobs/view/senior-software-engineer-at-trg-recruitment-4421182748?position=1&pageNum=0&refId=uKAemmCAo7FuZrwo5HnQyA%3D%3D&trackingId=J4%2BjcHVy7HnZuFtO4fiVAw%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:28:24.597534+00:00
AI Engineer | Remote,Crossing Hurdles,United Kingdom,https://uk.linkedin.com/jobs/view/ai-engineer-remote-at-crossing-hurdles-4423959691?position=60&pageNum=0&refId=dWBjM9Mja9RM2HsRCV7I1A%3D%3D&trackingId=BxG01enMob4K%2BXLZUxFQcw%3D%3D,,Posted 2026-06-05,,linkedin_uk,2026-06-05 23:16:45.922577+00:00
