Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Customer Success Manager,Mobiz,Riyadh,https://sa.indeed.com/rc/clk?jk=f016b5e9086fb05b&bb=6agc9agnJLN9RlKJRQ7OSN7_5OtvACtotNN-zCAYflXaVuSoJLUqbNGm6SsXAeRJsn4wWQ2J0g_aYy_OARNAwRPlyIftsbDRjHJrpsuS1COSAo0q6CGcFzdP9JItcwP8&xkcb=SoAu67M3iBlgchTCdp0BbzkdCdPP&fccid=4e5b9d54cb950719&vjs=3,"Identify opportunities for upselling or cross-selling additional products and services. Proven experience as a Customer Success Manager or in a similar role,…",,,indeed_sa,2026-06-01T13:44:51.852728+00:00
Director - Financial Crime Advisory,Capitex,Riyadh,https://sa.indeed.com/rc/clk?jk=599207d1d404aff9&bb=6agc9agnJLN9RlKJRQ7OSNhEp0F7ASp0roHfnMjF63kSLj6bUIpwWnk6lJKn7MCbaDaikPxfcfzyrBcxhHk3MFmt6a3xmCpAleZhVztDguF0Okgek9R0bA7N8ZLicX64&xkcb=SoCz67M3iBlgchTCdp0CbzkdCdPP&fccid=acf3f43a18c57771&vjs=3,"Background from a Big 4 firm, global management consultancy, or specialist FCC advisory firm. Prior experience at or with an FCC technology vendor (e.g. Accuity…",,,indeed_sa,2026-06-01T13:44:51.820248+00:00
Program Manager,Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=0e82466f0e529724&bb=6agc9agnJLN9RlKJRQ7OSMGoXPEmTzJ2U-iT4rwGsLMufL3wTHi2x94exYDJU9qRlylsThc68hcuwwPHqnHtqce7LIuhfDu23A-i29R6P3ZH2al5nE2VE456J3itlsyz&xkcb=SoAH67M3iBlgchTCdp0DbzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Program+Manager&vjs=3,"Good understanding of cloud platforms—GCP preferred, though Azure or AWS experience is also acceptable. Experience in cloud migration and modernization (at…",,,indeed_sa,2026-06-01T13:44:51.805821+00:00
Oracle SCM Functional Consultant,EndemandIT & Data Solutions LLC,Riyadh,https://sa.indeed.com/rc/clk?jk=304c1ddb2c0c29d5&bb=6agc9agnJLN9RlKJRQ7OSDRhq3EAyX0h7E6KE4m5hJ4QRuKbkahyw767P-k-gvFa-WpReBIC0mjhzWCDzdfv-r27zXxUARr4GiWI1788t574a6w7Ctq6tuILd3enuV-b&xkcb=SoDu67M3iBlgchTCdp0MbzkdCdPP&fccid=c9b8fd8ef46c82b6&cmp=EndemandIT-%2526-Data-Solutions-LLC&ti=Technical+Consultant&vjs=3,"Required Skills & Experience- Bachelor's degree in Supply Chain Management, Business Administration, - Information Systems, Engineering, or a related field.",,,indeed_sa,2026-06-01T13:44:51.791507+00:00
Project Manager - Arabic Speaker,Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=c22ffef319a00084&bb=6agc9agnJLN9RlKJRQ7OSJu_2fn5-E9mwugXJs_4BtSCFmn8EuLVhKzRFLraOnETrp2yt267n1r5tTKrRtQs40CO2BYPCFVAPS3QU2_gJjv7mDNHTu0QPVCczZninImO&xkcb=SoBa67M3iBlgchTCdp0NbzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Speaker&vjs=3,"Good understanding of cloud platforms—GCP preferred, though Azure or AWS experience is also acceptable. Experience in cloud migration and modernization (at…",,,indeed_sa,2026-06-01T13:44:51.749733+00:00
"Business Development Representative, Emerging Markets",Proofpoint,Riyadh,https://sa.indeed.com/rc/clk?jk=3f4932e3c0d17cfd&bb=6agc9agnJLN9RlKJRQ7OSBzwr--KzlBgoJYqUjHomPo79iUhpvzGEwn6mI1OlH4TETaljiGreMyTzlMO_8XzcWuqysVP_j3GcioiyfoS2t-UzSghKlnGxgJEbGnQD7Eq&xkcb=SoDH67M3iBlgchTCdp0ObzkdCdPP&fccid=69c7d55b78dc7424&vjs=3,Previous experience with solutions that can be deployed in private or public clouds a plus. Experience working with Salesforce.com or other CRM is a bonus.,,,indeed_sa,2026-06-01T13:44:51.724734+00:00
Arabic Program Manager (Cloud Migration & Modernization),Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=697ce2775c9f848a&bb=6agc9agnJLN9RlKJRQ7OSFwSLXeT6L4utb5HuSsCNZBgk1_jJN3sfvtLqakeNfnblagwYtbttZVuho47ozTGNftpOnkmHEQPAfpYjlhPweYRwPysC3gawgWzKT8yTTOK&xkcb=SoBz67M3iBlgchTCdp0PbzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Program+Manager&vjs=3,"Support cloud adoption, transformation, and modernization initiatives across enterprise environments. PMP (Project Management Professional) certification or…",,,indeed_sa,2026-06-01T13:44:51.677185+00:00
Senior Administration and Operations Manager,Prime Edge Technologies,Riyadh,https://sa.indeed.com/rc/clk?jk=62680001c7c703a0&bb=6agc9agnJLN9RlKJRQ7OSFmrFYENHDvz000VdKx94pGg02KyMkWRZHkpFZhmjAgFZR9qMLYgygskNG05v0kUFwqPjTgw5jSZkgzQUoS0C3wytnC7mEgac0IWrOuZg6j2&xkcb=SoD967M3iBlgchTCdp0IbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Prime-Edge-Technologies&ti=Senior+Administration+Manager&vjs=3,Background: Proven experience in managing cross-functional teams or business operations in a structured environment.,,,indeed_sa,2026-06-01T13:44:51.652729+00:00
SSHE Officer,Nestlé Waters,Jeddah,https://sa.indeed.com/viewjob?jk=123456789abcdef0,"Diploma or Bachelore Degree in Occupational Safety, Risk Management or Related field. OSHA/NEBOSH or HSE/OSH certification is a plus.",,,indeed_sa,2026-06-01T13:44:51.632576+00:00
SSHE Officer,Nestlé Waters,Jeddah,https://sa.indeed.com/rc/clk?jk=c021ccb154e836b0&bb=6agc9agnJLN9RlKJRQ7OSF82__2qGNFJ9e0n8J_mifmNFe7VoDQbKV4MUWCmjw9I5xAIAOsNGmZ52GWnE9TQEjziS181orclMZNLlGuAQPbBqdPYPpgDH1d3L26iYIWV&xkcb=SoBJ67M3iBlgchTCdp0JbzkdCdPP&fccid=bfdac90a7574b77c&vjs=3,"Diploma or Bachelore Degree in Occupational Safety, Risk Management or Related field. OSHA/NEBOSH or HSE/OSH certification is a plus.",,,indeed_sa,2026-06-01T13:44:51.613113+00:00
"Senior PHP Backend Developer (Riyadh, KSA)",FileCloud,Riyadh,https://sa.indeed.com/rc/clk?jk=66259049356fa6f6&bb=6agc9agnJLN9RlKJRQ7OSK2OoLl3ABbaCK5qsRcegrP1K-EXMSA3T93MaL8VwTbFFbenWKgU4kqIbkzebctFmOXEHmALquARXowytA1XnUs-Rqdt4cTpAfRZvRRcwddT&xkcb=SoDU67M3iBlgchTCdp0KbzkdCdPP&fccid=e7fe342b1206ad41&vjs=3,"Create elegant, efficient and bulletproof software to support and extend our current software products. 4+ years of professional software engineering experience…",,,indeed_sa,2026-06-01T13:44:51.592395+00:00
IT Support Specialist,Bayt Almaloumat Alarabiya For Information...,Riyadh,https://sa.indeed.com/rc/clk?jk=be1197c1d5aad91b&bb=6agc9agnJLN9RlKJRQ7OSDZ1pf8epeIOtKNoCDsx7ILozcapCKFzNQPO8qGU7nsBF8OKjoETrfXvXzIGboDCEVndkKtIPF5V6ZlI0oOhiNI_inNLNeESM3RRHtQE5jWg&xkcb=SoBg67M3iBlgchTCdp0LbzkdCdPP&fccid=265ee84321d48c58&cmp=Bayt-Almaloumat-Alarabiya-For-Information-Technology&ti=IT+Support+Specialist&vjs=3,Strong understanding of software licensing and subscription management. Familiarity with cloud platforms and cybersecurity best practices.,,,indeed_sa,2026-06-01T13:44:51.533626+00:00
Customer Success Manager,Mobiz,Riyadh,https://sa.indeed.com/rc/clk?jk=f016b5e9086fb05b&bb=iK0ZgFP59gaG5W0PlNL0utGmKWyr9vQQ51t8tecddiTZLTqceXUB_huQw5pKcqzrTri6R5EqtT_v59lwF4A-AoOrJarVyl88LrQQz2Gvgus7jqnxyKWqvWZdgmgi4fOY&xkcb=SoAK67M3iBlDKpz78J0BbzkdCdPP&fccid=4e5b9d54cb950719&vjs=3,"Identify opportunities for upselling or cross-selling additional products and services. Proven experience as a Customer Success Manager or in a similar role,…",,,indeed_sa,2026-06-01T13:40:13.853657+00:00
Director - Financial Crime Advisory,Capitex,Riyadh,https://sa.indeed.com/rc/clk?jk=599207d1d404aff9&bb=iK0ZgFP59gaG5W0PlNL0ugSmvXLMcvV-Y7_Zb39LQ_pkeAJNi00WVpKuf_1OIYJxGFDAkWE_3zZrQj8h8oPrKKmmBI3f_Xl3xprPN2NwsHgb4AgQi9mbdXmNj-huB1ch&xkcb=SoCX67M3iBlDKpz78J0CbzkdCdPP&fccid=acf3f43a18c57771&vjs=3,"Background from a Big 4 firm, global management consultancy, or specialist FCC advisory firm. Prior experience at or with an FCC technology vendor (e.g. Accuity…",,,indeed_sa,2026-06-01T13:40:13.795215+00:00
Program Manager,Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=0e82466f0e529724&bb=iK0ZgFP59gaG5W0PlNL0upG5GkslQ6MHLiHo33Av4hyq2VR6p3ft6yFJArOmXt8KE_xd4lBRRRLu4CIFk61U1g05ymeZoKuIyCY1Io-LHEQ50x15du8cCVMpJYRmvwfe&xkcb=SoAj67M3iBlDKpz78J0DbzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Program+Manager&vjs=3,"Good understanding of cloud platforms—GCP preferred, though Azure or AWS experience is also acceptable. Experience in cloud migration and modernization (at…",,,indeed_sa,2026-06-01T13:40:13.732011+00:00
Oracle SCM Functional Consultant,EndemandIT & Data Solutions LLC,Riyadh,https://sa.indeed.com/viewjob?jk=abcdef0123456789,"Required Skills & Experience- Bachelor's degree in Supply Chain Management, Business Administration, - Information Systems, Engineering, or a related field.",,,indeed_sa,2026-06-01T13:40:13.657328+00:00
Oracle SCM Functional Consultant,EndemandIT & Data Solutions LLC,Riyadh,https://sa.indeed.com/rc/clk?jk=304c1ddb2c0c29d5&bb=iK0ZgFP59gaG5W0PlNL0ugh7sdegrnsi09-o9rSeWjQdOn70JvccczBSHozS1CjXisddQPNGVjt_SLh9QP_CujPyohxDTLbJBLj8b5w3rcR2bLd2Ytco_CKid5ARPZee&xkcb=SoDK67M3iBlDKpz78J0MbzkdCdPP&fccid=c9b8fd8ef46c82b6&cmp=EndemandIT-%2526-Data-Solutions-LLC&ti=Technical+Consultant&vjs=3,"Required Skills & Experience- Bachelor's degree in Supply Chain Management, Business Administration, - Information Systems, Engineering, or a related field.",,,indeed_sa,2026-06-01T13:40:13.588820+00:00
"Business Development Representative, Emerging Markets",Proofpoint,Riyadh,https://sa.indeed.com/rc/clk?jk=3f4932e3c0d17cfd&bb=iK0ZgFP59gaG5W0PlNL0uutZXv8UmjGEUnaeNWer5PtG528rzUpa6j4Wf6E4hRNpKLn3IfqRcMCh6JQmTYNBBmOkBCqmLkymNu6ukLnJPru1GeoE8ihfYxwdXO0v8Iie&xkcb=SoB-67M3iBlDKpz78J0NbzkdCdPP&fccid=69c7d55b78dc7424&vjs=3,Previous experience with solutions that can be deployed in private or public clouds a plus. Experience working with Salesforce.com or other CRM is a bonus.,,,indeed_sa,2026-06-01T13:40:13.521339+00:00
Project Manager - Arabic Speaker,Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=c22ffef319a00084&bb=iK0ZgFP59gaG5W0PlNL0umNX8HD-CxJw_fidYLFxGyLeCWF6pSIlOJ-Kb4osCvcsRmHhIeoy8vyS2X6Sq5C_sAHYPjawk3K1l1HutSBadt5SPzA8Ox6AtU_8QXJvRikA&xkcb=SoDj67M3iBlDKpz78J0ObzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Speaker&vjs=3,"Good understanding of cloud platforms—GCP preferred, though Azure or AWS experience is also acceptable. Experience in cloud migration and modernization (at…",,,indeed_sa,2026-06-01T13:40:13.435497+00:00
Senior Administration and Operations Manager,Prime Edge Technologies,Riyadh,https://sa.indeed.com/rc/clk?jk=62680001c7c703a0&bb=iK0ZgFP59gaG5W0PlNL0uuAGUCr8gi_gZ9v4LLJ9bAmKZH-2UQDs0YwWg6owcU2KwpIplitNB9MyNpx2OlYQjouTXyZJHdBvx0rcq_P_WkdRGU9479chtllQzqmzmHMB&xkcb=SoBX67M3iBlDKpz78J0PbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Prime-Edge-Technologies&ti=Senior+Administration+Manager&vjs=3,Background: Proven experience in managing cross-functional teams or business operations in a structured environment. What We Are Looking For:,,,indeed_sa,2026-06-01T13:40:13.342339+00:00
Arabic Program Manager (Cloud Migration & Modernization),Avanza Solutions,Riyadh,https://sa.indeed.com/rc/clk?jk=697ce2775c9f848a&bb=iK0ZgFP59gaG5W0PlNL0upAAcPvazpjs286RZsK5koyKq8btrl8aX7iAOo4mWclyNQFdYhoxf-ETyvzcJaE6BdcQ062n8vBz-xayXD_xIGRY9B1b9a8yGh-j6Y_Xmm64&xkcb=SoDZ67M3iBlDKpz78J0IbzkdCdPP&fccid=0f91a08892ef7fa8&cmp=Easy-Recruitment-PK&ti=Program+Manager&vjs=3,"Support cloud adoption, transformation, and modernization initiatives across enterprise environments. PMP (Project Management Professional) certification or…",,,indeed_sa,2026-06-01T13:40:13.282935+00:00
SSHE Officer,Nestlé Waters,Riyadh,https://sa.indeed.com/rc/clk?jk=d17ed6e6cee09c89&bb=iK0ZgFP59gaG5W0PlNL0uoj8Jf8sU961tdfJ7xlrgELvd43v8JFwu57BmXgr4yo-D5Ha6it3WmmgIbFRO8lhYboGf1VFNKWAKdXzm4osT7Mwbbu6ZajGVe5NzdMLwc8h&xkcb=SoBt67M3iBlDKpz78J0JbzkdCdPP&fccid=bfdac90a7574b77c&vjs=3,"Diploma or Bachelore Degree in Engineering or Occupational Safety, Risk Management or Related field. OSHA/NEBOSH or HSE/OSH certification is a plus.",,,indeed_sa,2026-06-01T13:40:13.217990+00:00
