Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Senior Consultant (Project Manager),Clarivate,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-consultant-project-manager-at-clarivate-4390878144?position=59&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=9frfGMX%2BlYX1LtK18v42Lg%3D%3D,,Posted 2026-05-31,,linkedin_eg,2026-06-01T13:32:50.767013+00:00
Business Development Analyst - Merchandising,PepsiCo,"New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/business-development-analyst-merchandising-at-pepsico-4418743784?position=58&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=Qi227MLCKK3APsogtQGqAQ%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.699020+00:00
Electrical Sales Engineer,MB Engineering Group,"Qesm El Doki, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/electrical-sales-engineer-at-mb-engineering-group-4418733425?position=57&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=GYCKyxRCRqKTFMHEF1J1tQ%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.582383+00:00
Tender Mechanical Engineer + 3 Years,Nass Tech Integrated Projects,"Qesm 2nd 6 October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/tender-mechanical-engineer-%2B-3-years-at-nass-tech-integrated-projects-4418764163?position=56&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=La%2B3t9GH%2FSYW7qwNnuWOXw%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.500276+00:00
Senior Network Engineer,TP,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-network-engineer-at-tp-4421656895?position=55&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=smMuaFGRATZvUn8vu5ap%2FA%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.431510+00:00
Senior Sales Executive,TEU,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/senior-sales-executive-at-teu-4413304157?position=54&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=weZKpazidckK%2B9pKrAN5dg%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.339392+00:00
Mechanical Design Engineer,Manpower Egypt,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/mechanical-design-engineer-at-manpower-egypt-4413388935?position=52&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=H5V7rPjRJeNhz2tEmw%2Flaw%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.245810+00:00
Sales Engineer,NILEMED,"Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/sales-engineer-at-nilemed-4418743716?position=51&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=mvnfc4XKDumYPySDQcuPmQ%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.152143+00:00
Senior Civil Tender Engineer,Al-Alama Contracting & Supplies,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/senior-civil-tender-engineer-at-al-alama-contracting-supplies-4418746503?position=50&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=XKaIgcEet4iQXyiQTvNuEQ%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.097023+00:00
Commercial Electrical Engineer ( MEP ),SAMMAN GROUP,"Ad-Duqqi, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/commercial-electrical-engineer-mep-at-samman-group-4418735289?position=49&pageNum=0&refId=GjJQlc44GOWGLLHjuF0LCw%3D%3D&trackingId=qd3tpdzQ2lKhEmJIOdtvHA%3D%3D,,Posted 2026-06-01,,linkedin_eg,2026-06-01T13:32:50.019523+00:00
